publisher,pub_est
LK Avalon,1989
Llamasoft,1981
Lock 'n Load Publishing,2006
Logotron Ltd,1987
Loki Software,1998
Loriciel,1983
LucasArts,1982
Lump of Sugar,2005
MacPlay,1993
MacSoft,1993
Mad Catz,1989
Magical Company,1985
Magnavox,1911
Mr Chip Software,1982
magnussoft,1984
Mandarin Software,1988
MangaGamer,2009
Martech,1982
Majesco Entertainment,1986
Marvelous,2011
Marvelous Entertainment,1997
Masaya,1985
Mastertronic,1983
Mastiff,2002
Matrix Games,2000
Mattel,1945
Maximum Games,2009
Maxis,1987
Max Design,1991
MC2 France,2003
MC Lothlorien,1982
MECC,1973
MediaWorks,1992
Media Factory,1986
Media Rings,1989
Mega Enterprise,1998
Melbourne House,1977
Meldac,1990
"Metro3D, Inc.",1998
Metropolis Software,1992
MGM Interactive,1995
Microdeal,1981
MicroÃ¯ds,1984
MicroIllusions,1987
"Micronet co., Ltd.",1982
MicroProse,1982
Microsoft,1975
Microsphere,1982
Microcabin,1982
Micrografx,1982
MicroGraphic Image,1983
Micro Genius,1989
Micro Power,1980
Midas Interactive Entertainment,1999
Midway Games,1988
Midway Manufacturing,1958
Mikro-Gen,1981
MileStone Inc.,2003
Millennium Interactive,1988
Milton Bradley Company,1860
Minato Soft,2006
Mindcraft,1989
Mindscape,1980
Minori,2001
Mirrorsoft,1982
Mitchell Corporation,1960
Mojang,2009
Monolith Productions,1994
Monte Cristo,1995
Moonstone,2003
Mosaic Publishing,1983
MOSS,1993
Motown Games,1994
Mountain King Studios,1992
MTO,1996
MTV Games,2006
Mud Duck Productions,2002
Muse Software,1978
MumboJumbo,2001
Mystique,1982
Namco,1955
Natsume Co Ltd,1987
Natsume Inc,1988
Navel,2003
Naxat Soft,1988
NBCUniversal,2004
NCsoft,1997
NEC Corporation,1899
Neko Entertainment,1999
Netdragon,1997
Netease,1997
New Generation Software,1982
NewKidCo,1998
New World Computing,1984
Nexon,1994
Nihon Falcom,1981
Nintendo,1889
Nippon Ichi Software,1994
Nihon Bussan,1970
Nitroplus,2000
Novagen Software,1983
Nokia,1865
Nordcurrent,2002
NovaLogic,1985
NTDEC,1983
Nutting Associates,1965
O3 Entertainment,2001
Ocean Software,1984
Ocean State Publishing,1990
Oculus Studios,2014
Odin Computer Graphics,1985
Opera Soft,1986
Orbital Media,2003
Origin Systems,1983
Orion Interactive,1996
Out of the Park Developments,1999
0verflow,1997
Oxygen Games,2004
OziSoft,1982
Pacific Novelty,1980
Pack-In-Video,1970
Palace Software,1983
Palette,2002
Panasonic,1918
Panda Entertainment,1993
Panesian Taiwan,1990
Panther Games,1985
Panther Software,1987
Paradox Interactive,1998
Paragon Software,1985
Parker Brothers,1883
Parsoft Interactive,1991
Penguin Software,1978
Pentavision,2003
Perfect World,2004
Personal Software Services,1981
Petit Ferret,2002
Petroglyph Games,2003
PF Magic,1991
Phantagram,1994
Philips,1891
Pionesoft,2003
Piranha Games,1986
Piranha Interactive Publishing,1995
PlayFirst,2004
"Playlogic Entertainment, Inc.",2002
Playmates Toys,1966
The Pokémon Company,1998
Pony Canyon,1966
PopCap Games,2000
Positech Games,1997
Presto Studios,1991
PrincessSoft,2001
Prism Leisure Corporation,1984
Private Division,2017
Probe Software,1984
Programma International,1978
Prototype,2006
Psygnosis,1984
Psikyo,1992
Psytronik Software,1993
Pulltop,2002
Purple Moon,1997
Purple software,1985
Quality Software,1978
Quantum Axcess,1994
Quantum Quality Productions,1991
Quest Corporation,1988
Quicksilva,1983
QuinRose,2005
Quintet,1987
Qute,1999
Q Entertainment,2003
R2Games,2010
Rabbit Software,1982
Radica Games,1983
Rage Software,1992
Rainbird Software,1986
Rainbow Arts,1984
Rare,1985
Ravensburger Interactive,1883
Raw Thrills,2001
Red Ant Enterprises,2001
Red Barrels,2011
Red Entertainment,1976
RedOctane,1999
Red Orb Entertainment,1997
Red Shift,1983
Red Storm Entertainment,1996
Regista,2004
reLINE Software,1987
Renegade Software,1991
Renovation Products,1990
Richard Shepherd Software,1982
Right Stuff,1990
Riot Games,2006
Ripcord Games,1996
Rising Star Games,2004
Riverhillsoft,1982
Rock-Ola,1927
Rockstar Games,1998
Romstar,1984
Romtech,1999
Rovio Entertainment,2003
RTL Group,1920
RuneSoft,2000
Saga Planets,1998
Sammy Studios,2004
Samsung,1938
Sanctuary Woods,1988
"Scavenger, Inc.",1996
Scopely,2011
SCi Games,1988
SCS Software,1997
Safari Software,1989
Scholastic,1920
Sears,1886
Sega,1960
Seibu Kaihatsu,1982
SETA Corporation,1985
Shadow Tor Studios,2005
Shanda,1999
Sharp Corporation,1912
Shengqu Games,1999
Sherston Software,1983
Shoeisha,1986
Shogakukan,1922
Sierra Entertainment,1979
Silicon Beach Software,1984
Silmarils,1987
Simon & Schuster Interactive,1995
"SIMS Co., Ltd.",1991
Simulations Canada,1977
Sinclair Research Ltd.,1973
Sirius Software,1980
Sir-Tech,1979
Slitherine,2000
SNK,2001
Soedesco,2001
SOFEL,1979
Soft-World,1983
Softape,1978
Softdisk,1981
SoftKey,1978
Softek International Ltd,1980
SoftSide,1978
Softstar,1988
Software 2000,1987
Software Dynamics,1987
