Publisher,Headquarters,Est.,Notable games published,Notes,Active
Capcom,"Osaka, Japan",1979,Mega ManStreet FighterResident EvilDevil May Cry,Also a video game developer.,1
Capstone Software,"Miami, Florida, United States",1984,William Shatner's TekWar,Subsidiary of IntraCorp. Defunct in 1996.,0
Caramel Box,Japan,2002,Otome wa Boku ni Koishiteru,Division of HOBIBOX. Formerly known as HimeyaSoft.,1
Carry Lab,Japan,1981,"Various PC-88, FM-7, and MSX games",Defunct.,0
Casady & Greene,United States,1984,Sky Shadow,Defunct in 2003.,0
Cases Computer Simulations,"London, England, UK",1982,Arnhem,Published last game in 1994.,0
Cave,"Tokyo, Japan",1994,DoDonPachi SaiDaiOuJou,,1
CBS Electronics,United States,1982,K-Razy Shoot-Out,Closed in 1984.,0
CD Projekt Red,"Warsaw, Poland",1994,The Witcher series,,1
CDS Software,"Doncaster, UK",1982,European Superleague,Reformed as iDigicon Ltd in 2002.,0
CDV Software Entertainment AG,"Bruchsal, Germany",1989,,Defunct in 2010.,0
Centuri,"Hialeah, Florida, United States",1969,Vanguard,Known as Allied Leisure until 1980. Defunct in 1985.,0
ChessBase,"Hamburg, Germany",1986,Various chess programs,,1
Spike Chunsoft,"Tokyo, Japan",1984,Otogirisō,Merged with Spike in 2012. Subsidiary of Dwango.,1
Cinemax,"Prague, Czech Republic",1998,Memento Mori,,1
CI Games,"Warsaw, Poland",2002,Sniper Ghost Warrior,Also a video game developer. Also known as City Interactive.,1
Cinematronics,"El Cajon, California, United States",1975,Dragon's Lair,Acquired by Tradewest in 1987 and renamed to Leland Corporation.,0
Cinemaware,"Burlingame, California, United States",1985,Defender of the Crown,Defunct in 1991. Reestablished as Cinemaware Inc. in 2000.,0
Circus,"Hasuda, Saitama, Japan",2000,Suika,,1
Club Kidsoft,"Los Gatos, California, United States",1992,Various edutainment games,Defunct.,0
The Coca-Cola Company,"Atlanta, Georgia",1886,Pepsi Invaders,No longer publishes video games.,0
Codemasters,"Warwickshire, UK",1985,Overlord,Also a video game developer.,1
Coktel Vision,"Paris, France",1985,Emmanuelle,Acquired by Sierra in 1993.,0
Coleco,United States,1932,,"Also a video game console (ColecoVision and Telstar) and video game developer. Revived in 2005, after being defunct since 1988.",0
Color Dreams,United States,1988,,Also a video game developer.,0
CommaVid,"Aurora, Illinois, United States",1981,Video Life,Defunct in 1983.,0
Commercial Data Systems,"Emerald Park, Saskatchewan, Canada",1982,Frantic Freddie,Exited the video game industry in 1990.,0
Commodore,"West Chester, Pennsylvania, United States",1954,Radar Rat Race,Defunct in 1994.,0
Compile,Japan,1982,,Defunct in 2003.,0
Compile Heart,"Tokyo, Japan",2006,Record of Agarest War,Subsidiary of Idea Factory.,1
Computer and Video Games,"Bath, Somerset, England, UK",1981,The Thompson Twins Adventure,"Label of Future Publishing. Also known C&VG, CVG, or C+VG. Defunct in 2004.",0
Conspiracy Entertainment,"Santa Monica, California, United States",1997,,Also a video game developer.,0
Core Design,"Derby, England, UK",1988,Corporation,Acquired by Eidos Interactive in 1996; defunct in 2010.,0
Cosmi Corporation,"Carson, California, United States",1982,"Forbidden Forest, The President is Missing",,0
Crave Entertainment,"Newport Beach, California, United States",1997,,,0
Creative Computing,United States,1974,Various Atari 8-bit games,Defunct in 1985.,0
Creatures,"Tokyo, Japan",1995,Chee-Chai Alien,No longer publishes video games.,0
Crimson Cow,"Hamburg, Germany",2002,A Vampyre Story,,0
CRL Group,"London, England, UK",1982,Tau Ceti,Published last game in 1989.,0
Cronosoft,UK,2002,Various homebrew ZX Spectrum games,,0
Culture Brain Excel,"Tokyo, Japan",1980,,,1
Cryo Interactive,"Paris, France",1989,Seven Games of the Soul,Defunct in 2002; assets acquired by Dreamcatcher Interactive.,0
Crystal Computing,"Manchester, UK",1982,Halls of the Things,Reestablished as Design Design in 1984.,0
Crystal Dynamics,"Redwood City, California, United States",1992,Gex,Also a video game developer. Acquired by Eidos Interactive (later Square Enix Europe) and their games are now published by Square Enix.,0
Crytek,"Frankfurt, Germany",1999,Robinson: The Journey,Also a video game developer.,1
Cyberdreams,"Calabasas, California, United States",1990,Dark Seed,Defunct in 1997.,0
Cyberdreams,"Liverpool, England, UK",2007,,Also a video game developer. Successor of Ultrasoft.,1
Cybersoft,"North Miami Beach, Florida",1994,Air Cavalry,Label of GameTek. Last game published in 1995.,0
D3 Publisher,"Tokyo, Japan",1996,,,1
Daedalic Entertainment,"Hamburg, Germany",2007,Edna & Harvey: The Breakout,,1
DarXabre,The Netherlands,2001,Hooligans: Storm Over Europe,Defunct.,0
Datamost,"Chatsworth, California, United States",1981,Aztec,Defunct in 1985.,0
Datam Polystar,"Tokyo, Japan",1990,Cacoma Knight,No longer publishes video games.,0
Datasoft,"Chatsworth, California, United States",1980,Bruce Lee,Reformed as IntelliCreations in 1987.,0
Data Age,"California, United States",1982,Journey Escape,Defunct in 1983.,0
Data Becker,"Düsseldorf, Germany",1980,America,Defunct in 2014.,0
Data East,"Tokyo, Japan",1976,,,0
Davidson & Associates,"Torrance, California, United States",1983,Math Blaster!,Acquired by CUC International in 1996. Defunct in 1999.,0
Davilex Games,"Houten, The Netherlands",1997,A2 Racer,Ceased publishing video games in 2005.,0
