Publisher,Headquarters,Est.,Notable games published,Notes,Active
Quality Software,"Chatsworth, California, United States",1978,The Return of Heracles,Defunct in 1984.,0
Quantum Axcess,"Columbus, Ohio, United States",1994,Malice,Last game published c. 2003.,0
Quantum Quality Productions,"Flemington, New Jersey, United States",1991,The Perfect General,Acquired by American Laser Games in 1994; defunct in 1995.,0
Quest Corporation,"Tokyo, Japan",1988,Ogre Battle: The March of the Black Queen,Defunct in 2002 following acquisition by Square.,0
Quicksilva,UK,1983,"Ant Attack, Bugaboo (The Flea)","Acquired by Argus Press Software in 1984, which used the Quicksilva name as a label until 1989.",0
QuinRose,Japan,2005,Arabians Lost: The Engagement on Desert,,1
Quintet,"Tokyo, Japan",1987,,Defunct in 2002.,0
Qute,"Sagamihara, Japan",1999,Dicing Knight Period,,1
Q Entertainment,"Tokyo, Japan",2003,Lumines II,,1
R2Games,"Hong Kong, China",2010,,,1
Rabbit Software,"London, England, UK",1982,Potty Painter,Acquired by Virgin Games in 1985.,0
Radica Games,United States,1983,Play TV,Acquired by Mattel in 2006.,0
Rage Software,"Liverpool, England, UK",1992,Striker,Defunct in 2003.,0
Rainbird Software,"London, England, UK",1986,Starglider,"Label of Telecomsoft until 1989, and of MicroProse from then until its discontinuation in 1991.",0
Rainbow Arts,"Gütersloh, Germany",1984,"Turrican, The Great Giana Sisters",Also a video game developer. Acquired by Funsoft and subsequently absorbed into THQ in 1999.,0
Rare,"Twycross, England, UK",1985,Jet Force Gemini,Acquired by Microsoft in 2002.,0
Ravensburger Interactive,"Ravensburg, Germany",1883,,Video game subsidiary of Ravensburger AG. Acquired by JoWooD Productions in 2002.,0
Raw Thrills,"Skokie, Illinois, United States",2001,Target: Terror,,1
Red Ant Enterprises,Australia,2001,,Local distributor for other publishers' games. Defunct in 2011.,0
Red Barrels,"Montreal, Quebec, Canada",2011,Outlast series,Also a video game developer.,1
Red Entertainment,"Tokyo, Japan",1976,Gungrave,Known as Red Company until 2000.,0
RedOctane,"Mountain View, California, United States",1999,Guitar Hero,Acquired by Activision in 2006; defunct in 2010.,0
Red Orb Entertainment,"Novato, California, United States",1997,Riven,"Label of Broderbund, and of Mindscape from 1998 onward. Defunct in 2001 following acquisition by Ubisoft.",0
Red Shift,"London, England",1983,Rebelstar Raiders,Defunct in 1985.,0
Red Storm Entertainment,"Cary, North Carolina, United States",1996,Rainbow Six,Also a video game developer. Acquired by Ubisoft and their games are now published by Ubisoft.,0
Regista,Japan,2004,I/O,,1
reLINE Software,"Hanover, Germany",1987,Amegas,Defunct in 2004.,0
Renegade Software,"Wapping, London, England, UK",1991,"Gods, Fire & Ice",Publishing arm of The Bitmap Brothers. Acquired by GT Interactive in 1997.,0
Renovation Products,United States,1990,,Acquired by Sega,0
Richard Shepherd Software,"Slough, Berkshire, England, UK",1982,Shaken but not Stirred,Defunct in 1984.,0
Right Stuff,"Tokyo, Japan",1990,Flash Hiders,Defunct in 1999.,0
Riot Games,"Santa Monica, United States",2006,League of Legends,Also a video game developer. Acquired by Tencent.,1
Ripcord Games,"Santa Clara, California, United States",1996,Postal,Label of Panasonic Interactive Media until 1999. Stopped publishing video games in 2001. Defunct in 2009.,0
Rising Star Games,"Hitchin, England, UK",2004,,,1
Riverhillsoft,Japan,1982,J.B. Harold Murder Club,Defunct in 2004.,0
Rock-Ola,"Chicago, Illinois, United States",1927,Nibbler,No longer publishes video games.,0
Rockstar Games,"New York, New York, United States",1998,Max PayneGrand Theft AutoManhuntMidnight ClubBully,Also a video game developer. Currently a publishing label of Take-Two Interactive.,1
Romstar,"Torrance, California, United States",1984,Twin Cobra,Defunct in 1992.,0
Romtech,"Langhorne, Pennsylvania, United States",1999,,Defunct.,0
Rovio Entertainment,"Espoo, Finland",2003,Angry Birds,Publishers its own developed games as well as 3rd parties under Rovio Stars,1
RTL Group,"Kirchberg, Luxembourg",1920,Crash Time: Autobahn Pursuit,"Published under the RTL Playtainment label. Currently its subsidiary, BroadbandTV, publishes some mobile games.",1
RuneSoft,"Tübingen, Germany",2000,Various Linux and Mac OS games,,0
Saga Planets,"Osaka, Japan",1998,Ren'ai CHU!,,1
Sammy Studios,"Minato, Japan",2004,,"Merged with Sega as Sega Sammy Holdings,",1
Samsung,"Seoul, South Korea",1938,Various Sega Mega Drive games in Korea,No longer publishes video games.,0
Sanctuary Woods,"Victoria, British Columbia, Canada",1988,Ripley's Believe It or Not!: The Riddle of Master Lu,Defunct in 2001.,0
"Scavenger, Inc.","Los Angeles, California, United States",1996,Scorcher,Defunct in 1998.,0
Scopely,"Culver City, California, United States",2011,Star Trek Fleet CommandThe Walking Dead: Road to Survival,,1
SCi Games,"London, England, UK",1988,,Bought and merged with Eidos Interactive in 2005. Name retired.,0
SCS Software,"Prague, Czech Republic",1997,Euro Truck Simulator 2,,1
Safari Software,"Houston, Texas, United States",1989,Traffic Department 2192,Acquired by Epic MegaGames in 1997.,0
Scholastic,"Wilkinsburg, Pennsylvania, United States",1920,,Ceased publishing video games in 2007.,0
Sears,"Chicago, Illinois, United States",1886,Various Atari 2600 games,Published under the Tele-Games label. Exited the video game industry in 1983.,0
Sega,"Tokyo, Japan",1960,Sonic the HedgehogPhantasy StarVirtua Fighter,Also a video game developer. Merged with Sammy Studios as Sega Sammy Holdings.,1
Seibu Kaihatsu,"Tokyo, Japan",1982,Raiden,Ceased publishing video games in 1998.,0
SETA Corporation,"Tokyo, Japan",1985,,Defunct in 2009.,0
Shadow Tor Studios,UK,2005,Barrow Hill,,1
Shanda,"Shanghai, China",1999,,Gaming unit spun off as Shanda Games (later Shengqu Games) in 2009.,0
Sharp Corporation,"Sakai, Japan",1912,Nekketsu High School Dodgeball Club: Soccer,No longer publishes video games.,0
Shengqu Games,"Shanghai, China",1999,,,1
Sherston Software,"Sherston, Wiltshire, UK",1983,Various BBC Micro games,Defunct in 2011; now a label of Sherston Publishing Group.,0
Shoeisha,"Tokyo, Japan",1986,BreakThru!,No longer publishes video games.,0
Shogakukan,"Tokyo, Japan",1922,Professor Kageyama's Maths Training: The Hundred Cell Calculation Method,,1
Sierra Entertainment,"California, United States",1979,Gabriel KnightKing's QuestLeisure Suit LarryHalf-LifePolice QuestQuest for GlorySpace Quest,Also a video game developer. Defunct in 2008. Its name was revived as Activision's brand in 2014.,0
Silicon Beach Software,"San Diego, California, United States",1984,Enchanted Scepters,Acquired by Aldus in 1990.,0
Silmarils,"Lognes, Paris, France",1987,Metal Mutant,Defunct in 2003.,0
Simon & Schuster Interactive,"New York City, United States",1995,Deer Avenger,Defunct in 2003.,0
"SIMS Co., Ltd.","Tokyo, Japan",1991,Vay,,1
Simulations Canada,Canada,1977,Various computer wargames,No longer publishes video games.,0
Sinclair Research Ltd.,"London, England, UK",1973,1K ZX Chess,"Brand name sold to Amstrad in 1985, which continued to use it as a label until 1992.",0
Sirius Software,"Sacramento, California, United States",1980,Wayout,Defunct in 1984.,0
Sir-Tech,"New York City, United States",1979,Wizardry,Defunct in 2003.,0
Slitherine,"Epsom, Surrey, UK",2000,Panzer CorpsDistant Worlds,"Publisher of strategy and wargames on PC, Mac, mobile and home consoles.",1
SNK,"Osaka, Japan",2001,Ikari WarriorsFatal FuryWorld HeroesSamurai ShowdownArt of Fighting,Acquired by 37Games in 2015,1
Soedesco,"Rotterdam, The Netherlands",2001,Various indie games,,0
SOFEL,"Tokyo, Japan",1979,Wall Street Kid,No longer publishes video games.,0
Soft-World,"Taipei, Taiwan",1983,Heroes of Jin Yong,,1
Softape,United States,1978,Various Apple II games,Defunct in 1983.,0
Softdisk,"Shreveport, Louisiana, United States",1981,Catacomb 3-D,Defunct in 2016.,0
SoftKey,United States,1978,Oregon Trail II,"Known as Micro International Corp. until 1989, and as WordStar International Inc. until 1994. Changed name to The Learning Company in 1996; continued to use the SoftKey label on some software until 1999, when the company was acquired by Mattel.",0
Softek International Ltd,"London, England, UK",1980,Quo Vadis,Defunct in 1989. Published some games under the label The Edge.,0
SoftSide,United States,1978,Arena of Octos,Defunct in 1984.,0
Softstar,"Taipei, Taiwan",1988,The Legend of Sword and Fairy,,1
Software 2000,"Eutin, Germany",1987,Fast Food Tycoon,Defunct in 2002.,0
Software Dynamics,"Victoria, British Columbia, Canada",1987,Operation: Inner Space,,1
Software Projects,"Liverpool, England, UK",1983,Jet Set Willy,Defunct in 1985.,0
Sony Imagesoft,"Los Angeles, California, United States",1989,Super Dodge Ball,Initially known as CSG Imagesoft. Defunct in 1995.,0
Sony Interactive Entertainment,"San Mateo, California, United States",1993,Ratchet & ClankJak and DaxterGod of WarKillzoneUnchartedResistance,,1
Sony Pictures Digital,"California, United States",1997,,Publisher of mobile phone games.,1
SouthPeak Games,"Virginia, United States",1996,Two Worlds,,0
Spectral Associates,"Tacoma, Washington, United States",1980,Various TRS-80 Color Computer games,Published last game in 1988.,0
Spectravideo,United States,1981,Mangia,Published Atari 2600 games under the label Spectravision. Defunct in 1988.,0
Spectrum HoloByte,"Alameda, California, United States",1983,,Also a video game developer. Acquired by Hasbro Interactive.,0
Spike,"Tokyo, Japan",1991,Michigan: Report from Hell,Merged with Chunsoft in 2012.,0
Spil Games,"Hilversum, The Netherlands",2001,,Also a video game developer.,1
Spinnaker Software,"Cambridge, Massachusetts, United States",1982,In Search of the Most Amazing Thing,Acquired by The Learning Company in 1994.,0
Square,"Tokyo, Japan",1986,Final Fantasy,Also a video game developer. Merged with Enix to create Square Enix.,0
Square Electronic Arts,"Costa Mesa, California, United States",1998,Parasite Eve,Owned by Square and Electronic Arts. Folded back into Square and changed to Square Enix.,0
Square Enix,"Tokyo, Japan",1975,Dragon Quest,,1
Square Enix Europe,"London, England, UK",1990,Tomb RaiderHitmanThief,"Also a video game developer. Acquired by SCi Games in 2005, then by Square Enix in 2009. Formerly known as Eidos Interactive until 2009.",1
Stardock,"Livonia, Michigan, United States",1991,Sins of a Solar EmpireGalactic Civilizations,Also a video game developer.,1
Starpath,"Livermore, California, United States",1981,Escape from the Mindmaster,Defunct in 1984.,0
Stern Electronics,"Chicago, Illinois, United States",1977,Berzerk,Ceased video game production in 1985.,0
Sting Entertainment,"Tokyo, Japan",1989,Last Battalion,,1
Storm Impact,"Glenview, Illinois, United States",1989,TaskMaker,Defunct in 1997.,0
Strategic Simulations (SSI),"Sunnyvale, California, United States",1979,,"Also a video game developer Acquired by Ubisoft, name retired.",0
Strategic Studies Group,Australia,1983,Reach for the Stars,No longer publishes video games. Their games are now published by Matrix Games.,0
Stormfront Studios,"San Rafael, California, United States",1988,Old Time Baseball,Defunct in 2008.,0
Strategy First,"Montreal, Quebec, Canada",1988,Europa Universalis,,1
Studio e.go!,"Osaka, Japan",1998,Castle Fantasia: Seima Taisen,Defunct in 2009.,0
subLOGIC,"Urbana-Champaign, Illinois, United States",1975,Flight Simulator,Acquired by Sierra in 1995.,0
Success,"Tokyo, Japan",1978,,Also a video game developer.,1
Sunflowers Interactive Entertainment Software,"Heusenstamm, Germany",1993,Anno 1602,Acquired by Ubisoft in 2007.,0
Sunrise Interactive,Japan,1998,Mai-HiME: Unmei no Keitōju,Defunct in 2008.,0
Sunsoft,"Aichi, Japan",1981,Aero the Acro-Bat,"Closed U.S. offices, operates out of Japan.",1
Superior Software,"Leeds, England, UK",1982,Citadel,,1
Supersoft,"Harrow, London, UK",1978,Air Attack,Ceased publishing video games in 1985.,0
Sydney Development Corporation,"Vancouver, British Columbia, Canada",1978,,Defunct in 1989.,0
Super Fighter Team,"San Diego, California, United States",2004,Legend of Wukong,,1
Suzy Soft,"Zagreb, Croatia",1985,Various ZX Spectrum and Commodore 64 games,Software division of Suzy Records. Defunct in 1988.,0
Synapse Software,"Richmond, California",1981,Blue Max,Purchased by Broderbund in 1984. Defunct in 1986.,0
Synergistic Software,"Seattle, Washington, United States",1978,Odyssey: The Compleat Apventure,Acquired by Sierra in 1996; defunct in 1999.,0
SystemSoft,Japan,1985,Daisenryaku,No longer publishes video games.,0
System 3,"London, England, UK",1982,"The Last Ninja, International Karate, Myth: History in the Making",Also a video game developer.,1
System Sacom,"Tokyo, Japan",1981,,No longer publishes video games.,0
Tactics,Japan,1997,One: Kagayaku Kisetsu e,"Acquired by Nexton in 1999, which has continued to use the Tactics brand on some games.",0
Taito,"Tokyo, Japan",1953,Bubble Bobble,Also a video game developer. Acquired by Square Enix.,1
Takara,Japan,1955,The Transformers: Mystery of Convoy,Merged with Tomy in 2006.,0
Take-Two Interactive,"New York, New York, United States",1993,,"Also owns publishers Rockstar Games, 2K Games (2K Sports), and Private Division. Also a video game developer.",1
TalonSoft,"Baltimore, Maryland, United States",1995,Battleground,"Also a video game developer. Acquired by Take-Two Interactive, name retired.",0
Tamsoft,"Tokyo, Japan",1992,Guardian's Crusade,,1
Tandy Corporation,"Fort Worth, Texas, United States",1919,Microchess,Ceased publishing games in 1989.,0
Taxan,Japan,1981,,No longer publishes video games.,0
TDK Mediactive,"Westlake Village, California, United States",1990,Lady Sia,American software publishing arm of TDK. Defunct in 2003.,0
Team17,"Wakefield, England, UK",1990,"Worms, Alien Breed, Superfrog, Yooka-Laylee",Also a video game developer.,1
Team Shanghai Alice,Japan,1996,Touhou Project,,1
Techland,"Ostrów Wielkopolski, Poland",1991,,,1
Technical Group Laboratory,"Osaka, Japan",1984,,Also known as TGL.,1
Technology and Entertainment Software,Japan,1982,Hydlide,Also known as T&E Soft. Ceased publishing video games in 2002.,0
Technosoft,"Sasebo, Nagasaki, Japan",1980,Thunder Force,Acquired by Twenty-one Company in 2001.,0
Technos Japan,"Tokyo, Japan",1981,,Also a video game developer. Assets acquired by Atlus.,0
TecMagik,"California, United States",1991,,Also a video game developer.,0
Tecmo,Japan,1967,Ninja GaidenTecmo BowlDead or Alive,Merged into Tecmo Koei.,0
Tectoy,"Sao Paulo, Brazil",1987,Many games for Sega consoles in Brazil.,,1
Telarium,"Cambridge, Massachusetts, United States",1984,Fahrenheit 451,Defunct in 1987.,0
Telesys,"Fremont, California, United States",1982,Fast Food,Defunct in 1984.,0
Telenet Japan,Japan,1983,Valis: The Fantasm Soldier,Defunct in 2007.,0
Telltale Games,"San Rafael, California, United States",2004,,Defunct in 2018.,0
Tencent,"Shenzhen, China",1998,,Also a video game developer and online services company. Has a minority stake in Epic Games and owns Riot Games as a subsidiary.,1
Tengen,"Milpitas, California, United States",1987,Tetris,Publishing arm of Atari Games. Defunct in 1994 following acquisition by Time Warner.,0
Texas Instruments,"Dallas, Texas, United States",1930,Parsec,Exited the video game industry in 1984.,0
Thalamus Ltd,"London, England, UK",1986,Armalyte,Defunct in 1993.,0
Thalion Software,"Gütersloh, Germany",1988,Amberstar,Defunct in 1994.,0
The9,"Shanghai, China",1999,,Former regional publisher for World of Warcraft in China,1
The Learning Company,"San Francisco, California, United States",1980,,"Merged with Mattel Interactive, no longer publishes video games",0
Thin Chen Enterprise,"Taipei, Taiwan",1988,Colorful Dragon,"Also used the labels Sachen, Commin, and Joy Van. Defunct.",0
Thinking Rabbit,"Takarazuka, Japan",1982,Sokoban,Defunct.,0
THQ,"Agoura Hills, California, United States",1989,Red FactionS.T.A.L.K.E.R.: Shadow of ChernobylSaint's RowTak and the Power of JujuDestroy All Humans!,"Also a video game developer. Nordic Games (now THQ Nordic) revived the THQ brand in 2016, and all THQ franchises folded to THQ Nordic.",0
THQ Nordic,Austria,2011,,"Purchased Darksiders, Red Faction, and MX vs. ATV franchises from THQ, Previously called Nordic Games from 2011–2016.",1
Thorn EMI Computer Software,"London, England, UK",1981,River Rescue,Software publishing arm of Thorn EMI. Spun off and reestablished as Creative Sparks in 1984.,0
Three-Sixty Pacific,United States,1987,Dark Castle,Defunct in 1994.,0
Tiertex Design Studios,"Manchester, UK",1987,Ace of Aces,Last game published in 2003.,0
Tiger Electronics,"Vernon Hills, Illinois, United States",1978,Various LCD games and Game.com games,Also a video game developer. Acquired by Hasbro in 1998.,0
Time Warner Interactive,"Milpitas, California, United States",1993,Primal Rage,Merged into Midway Games West in 1996.,0
Titus Interactive,France,1985,,,0
Toaplan,Japan,1984,Fire Shark,Defunct in 1994.,0
Toei Animation,"Tokyo, Japan",1956,Baltron,,1
Toho,"Tokyo, Japan",1932,Godzilla: Monster of Monsters,No longer publishes video games.,0
Tokuma Shoten,"Tokyo, Japan",1954,Incredible Crisis,No longer publishes video games.,0
Tokyo Shoseki,"Tokyo, Japan",1909,Cycle Race: Road Man,No longer publishes video games.,0
Tomy (Takara Tomy),"Tokyo, Japan",1924,Pretty Rhythm,Merged with Takara in 2006.,1
Tommo,"City of Industry, California",1990,Monster Rancher DS,,1
Tonkin House,"Tokyo, Japan",1986,Gun-Nac,Defunct in 2008.,0
Topologika,"Stilton, UK",1983,Countdown to Doom,Defunct in 2013.,0
Topo Soft,Spain,1987,Survivor,Defunct in 1994.,0
TopWare Interactive,"Karlsruhe, Germany",1995,,"Also a video game developer. After filing for bankruptcy in 2001, it was acquired by Zuxxez Entertainment, and later resurrected in 2005. Filed for bankruptcy again in 2016, but continues to publish future video games.",1
Toshiba EMI,"Tokyo, Japan",1960,Syvalion,Defunct in 2013.,0
Towa Chiki,"Tokyo, Japan",1986,A Week of Garfield,Defunct in 2001.,0
Tradewest,"Corsicana, Texas, United States",1986,,"Acquired by Midway Games, name retired.",0
Treco,"Torrance, California",1990,Atomic Robo-Kid,Defunct in 1993.,0
Triangle Service,"Tokyo, Japan",2002,Trizeal,,1
Triffix Entertainment,"Montreal, Quebec, Canada",1991,CastelianDream TVSpace Football: One on One,Last game published in 1992.,0
Trilobyte Software,"Medford, Oregon, United States",1990,Uncle Henry's Playhouse,"Defunct in 1999, re-established in 2010.",1
Tripwire Interactive,"Roswell, Georgia, United States",2005,Killing Floor,,1
Tri Synergy,"Dallas, Texas, United States",1996,,,1
Tru Blu Entertainment,"Sydney, Australia",1999,Rugby League,,0
Tsunami Games,"Oakhurst, California, United States",1991,Blue Force,Sold to Tsunami Media Corporation in 1999.,0
TT Games,"Maidenhead, England, UK",2005,,Also a video game developer. Merger of Giant Interactive Entertainment and Traveller's Tales. Acquired by Warner Bros. Interactive.,1
Twilight Frontier,Japan,2002,Higurashi Daybreak,,1
Tynesoft,"Blaydon, UK",1983,Superman: The Man of Steel,Exited the video game industry in 1991.,0
Type-Moon,Japan,2000,Tsukihime,,1
Ubisoft,"Montreuil-sous-Bois, France",1986,RaymanAssassin's CreedFar CryGhost ReconSplinter Cell,Also a video game developer.,1
UEP Systems,"Tokyo, Japan",1985,Cool Boarders,Defunct in 2001.,0
UFO Interactive Games,"City of Industry, California",1999,Monster Rancher DS,Label of Tommo.,1
Ultimate Play the Game,"Ashby-de-la-Zouch, UK",1982,"Jetpac, Knight Lore","Acquired by U.S. Gold in 1985, which continued to use the Ultimate name as a label on some games. Defunct in 1988.",0
Ultrasoft,"Bratislava, Slovakia",1989,Towdie,Defunct in 1998.,0
Ultra Games,"Buffalo Grove, Illinois, United States",1988,,Shell company and publishing label for Konami. Name retired in 1992.,0
United States Army,"Arlington, Virginia, United States",1775,America's Army,,1
Universal Entertainment Corporation,Japan,1969,Mr. Do!,,0
U.S. Gold,"Birmingham, England, UK",1984,,Also a video game developer. Acquired by Eidos Interactive.,0
UserJoy Technology,Taiwan,1995,The Legend of Three Kingdoms,,1
US Games,"Santa Clara, California, United States",1978,Entombed,Acquired by Quaker Oats in 1982. Defunct in 1983.,0
Valcon Games,"Bellevue, Washington, United States",2005,Darkest of Days,No longer active.,0
Valve,"Bellevue, Washington, United States",1996,Half-Life seriesCounter-Strike seriesPortal seriesLeft 4 Dead seriesDota 2,Also a video game developer.,1
VAP,"Tokyo, Japan",1981,Isolated Warrior,No longer publishes video games.,0
Varie,Japan,1986,Parallel World,Defunct in 1997.,0
VEB Polytechnik,"Chemnitz, Germany",1870,Poly Play,Defunct in 2006.,0
Vectorbeam,"California, United States",1978,Speed Freak,Acquired by Cinematronics in 1980.,0
Viacom,"New York City, United States",1952,Phantom 2040,Published video games under the Viacom New Media label. Company split in 2005.,0
Victor Interactive,Japan,1970,Shadow of the Beast,Subsidiary of JVC. Merged with Pack-In-Video in 1996. Acquired by Marvelous Entertainment in 2003; defunct in 2007.,0
Vic Tokai,"Shizuoka, Japan",1977,,No longer publishes video games.,0
Virgin Interactive,"London, England, UK",1983,Global Gladiators,"Also a video game developer. Known as Virgin Games until 1993. American branch acquired and closed by Electronic Arts in 1998, European branch acquired by Titus Software in 1999, and re-branded to Avalon Interactive in 2003. Stopped publishing games after 2002.",0
Virgin Play,Spain,1995,Touch the Dead,Known as Virgin Interactive Espana SA until 2002. Filed for liquidation in 2009.,0
Virtual Programming,"Bournemouth, UK",2000,Various Mac OS games,,1
Visco Corporation,Japan,1982,Wardner,No longer publishes video games.,0
The Vision Factory,"Den Bosch, The Netherlands",1993,Various CD-i games,Defunct in 2002.,0
VisualArt's,"Osaka, Japan",1991,Kanon,,1
Vivarium Inc.,"Tokyo, Japan",1993,SimTower,"Previously known as OPeNBooK Co., Ltd.",0
Vivendi Games,"Los Angeles, California United States",1993,,Merged with Activision to form Activision Blizzard in 2008.,0
Vortex Software,"Manchester, UK",1981,Highway Encounter,Defunct in 1990.,0
VoxelStorm,"Manchester, UK",2012,AdvertCity,Also a video game developer and music publisher.,1
Vulcan Software,"Cotswolds, UK",1994,Valhalla: Before the War,,1
Wales Interactive,"Bridgend, Wales, UK",2012,The BunkerSoul Axiom,Also a video game developer.,1
Walnut Creek CDROM,"Walnut Creek, California, United States",1991,Various shareware CD-ROMs,Merged with Berkeley Software Design in 2000.,0
Wanadoo Edition,"Paris, France",2000,Iron Storm,Software publishing arm of Wanadoo. Defunct in 2003.,0
Warashi,"Tokyo, Japan",1995,Triggerheart Exelica,,1
Wargaming,"Nicosia, Cyprus",1998,World of TanksWorld of WarplanesWorld of Warships,Also a video game developer.,1
Warner Bros. Interactive,"Burbank, California, United States",1993,F.E.A.R. 2Overlord,,1
WARP,Japan,1994,Enemy Zero,"Exited the video game industry in 1999, defunct in 2005.",0
Webfoot Technologies,"Lemont, Illinois, United States",1993,Deadly Rooms of Death,,1
Webzen,"Seoul, South Korea",2000,,Also a video game developer.,1
WildTangent,"Redmond, Washington, United States",1998,Fate: The Traitor Soul,,1
Williams Electronics,"Chicago, Illinois, United States",1943,"Robotron 2084, Defender",Exited the video game industry in 1998.,0
Windham Classics,"Cambridge, Massachusetts, United States",1984,Below the Root,Published last game in 1985.,0
Windmill,Japan,2002,Happiness!,Publishes under the Windmill Oasis label.,1
Windmill Software,"Toronto, Ontario, Canada",1982,Digger,Defunct in 1984.,0
Winkysoft,"Osaka, Japan",1983,,Defunct in 2015.,0
Wisdom Tree,"Tucson, Arizona, United States",1989,,Known for Christian-themed games.,1
WizardWorks,"Minneapolis, Minnesota, United States",1990,Deer Hunter,Acquired by GT Interactive in 1996. Defunct in 2004.,0
Wolf Team,"Tokyo, Japan",1986,Annet Futatabi,Acquired by Namco in 2003.,0
Working Designs,"Redding, California, United States",1986,Lunar,Specialized in the localization of Japan-native RPGs.,0
Xicat Interactive,"Fort Lauderdale, Florida, United States",1997,,Defunct in 2005.,0
Xonox,"Minnesota, United States",1983,Artillery Duel,Defunct in 1984.,0
XSEED Games,"Torrance, California, United States",2005,Ys Seven,,1
XS Games,"New York, New York, United States",2002,,,0
Yeti,Japan,2005,Root Double: Before Crime * After Days,,1
Yojigen,Japan,1994,WildSnake,Defunct.,0
Yonezawa PR21,Japan,1988,Battle Storm,Also known as Party Room 21. Acquired by Sega in 1994; defunct in 1998.,0
Yuke's,"Osaka, Japan",1993,Evil Zone,,1
Yutaka,Japan,1990,Last Armageddon,Defunct in 2003 following merger with Popy.,0
Zaccaria,"Bologna, Italy",1974,Various arcade games,Defunct in 1988.,0
ZAPiT Games,"Mississauga, Ontario, Canada",2003,Game Wave Family Entertainment System,Defunct.,0
ZeniMax Media,United States,1999,Elder Scrolls,Also owns publisher Bethesda Softworks.,1
Zenobi,"Rochdale, UK",1982,Various text adventure games,,1
Zeppelin Games,"Gateshead, UK",1987,Draconus,"Acquired by Merit Studios Inc. in 1994 and renamed to Merit Studios Europe. Subsequently, regained independence in 1996 and reestablished itself as Eutechnyx. No longer publishes its own games.",0
Zigurat,Spain,1986,Various ZX Spectrum games,Published last game in 1992.,0
Zimag,United States,1982,Dishaster,Publishing label of Magnetic Tape International. Defunct in 1983.,0
Zoom,"Sapporo, Japan",1988,Overtake,,1
Zuxxez Entertainment,"Karlsruhe, Germany",2001,,Acquired TopWare Interactive in 2001. Renamed itself to TopWare Interactive in 2005. Name retired.,0
Zushi Games,"Sheffield, England, UK",1999,,,0
Zynga,"San Francisco, California",2007,FarmVilleMafia Wars,,1
ZyX,Japan,1994,,,1
