Developer,Active,City,Autonomous area,Country,Est.,"Notable games, series or franchises",Notes
Capcom,1,Osaka,,Japan,1979,Mega Man franchise Mega Man series Mega Man X series Mega Man Legends series Mega Man Battle Network series Mega Man Zero series Mega Man ZX series Mega Man Star Force series Street Fighter franchiseResident Evil franchiseDevil May Cry franchiseMonster Hunter franchiseGhost 'n Goblins seriesStrider seriesFinal Fight seriesDino Crisis seriesDarkstalkers seriesAce Attorney franchiseOnimusha seriesSengoku BASARA seriesDragon's Dogma seriesViewtiful Joe seriesŌkami seriesDead Rising seriesMarvel vs. Capcom seriesBreath of Fire series,Developer/publisher
Capcom Vancouver,0,Burnaby,British Columbia,Canada,2005,Dead Rising series,"Founded as Blue Castle Games; acquired by Capcom in 2010; closed in September 18, 2018"
Carbine Studios,0,Aliso Viejo,California,US,2005,WildStar,Subsidiary of NCSoft
Cattle Call,1,Tokyo,,Japan,1998,Metal Max seriesArc the Lad series,Formed by former employees of Data East
Cauldron,0,Bratislava,,Slovakia,1996,Chaser,Their assets were acquired by Bohemia Interactive[7]
Cave,1,"Shinjuku, Tokyo",,Japan,1994,DoDonPachi,
Cavia,0,Tokyo,,Japan,2000,Drakengard seriesNier,
CCP Games,1,Reykjavík,,Iceland,1997,Eve Online,Their Newcastle studio was acquired by Sumo Digital. CCP Games itself was acquired by Pearl Abyss.
CD Projekt Red,1,Warsaw,,Poland,2002,The Witcher seriesCyberpunk 2077,Game development studio of CD Projekt
Certain Affinity,1,Austin,Texas,US,2006,Halo series,Co-developed the Halo series
Chair Entertainment,1,Salt Lake City,Utah,US,2005,UndertowShadow ComplexInfinity Blade series,Subsidiary of Epic Games
Chunsoft,0,"Shinjuku, Tokyo",,Japan,1984,Mystery Dungeon seriesDragon Quest I–V,Merged with Spike to become Spike Chunsoft in 2012
Cing,0,Fukuoka,,Japan,1999,Little King's Story,
Clap Hanz,1,Yokohama,,Japan,1998,Everybody's Golf seriesEverybody's Tennis series,
Climax Entertainment,0,Tokyo,,Japan,1990,Runabout series,
Climax Studios,1,Portsmouth,,England,1988,Silent Hill: OriginsAssassin's Creed Chronicles series,
Clover Studio,0,Osaka,,Japan,2004,Viewtiful Joe series Okami,Subsidiary of Capcom; became defunct in 2007
Coded Illusions,0,Rotterdam,,Netherlands,2005,,
Codemasters,1,Southam,,England,1985,F1 seriesColin McRae Rally seriesOperation Flashpoint seriesGrid series,Former subsidiary of Reliance Entertainment; developer/publisher
Coffee Stain Studios,1,Skövde,,Sweden,2010,Goat Simulator Satisfactory,Acquired by THQ Nordic AB (latterly Embracer Group) in 2018
Cohort Studios,0,Cardiff,,Wales,2006,Buzz! Junior series,
Coktel Vision,0,Paris,,France,1985,Inca series,Former publisher
Colossal Order,1,Tampere,,Finland,2009,Cities in MotionCities: Skylines,Developer for Paradox Interactive
Compile Heart,1,Tokyo,,Japan,2006,Hyperdimension Neptunia franchiseRecord of Agarest War,Developer/publisher; subsidiary of Idea Factory
Compulsion Games,1,Montreal,Quebec,Canada,2009,ContrastWe Happy Few,Acquired by Microsoft Studios in 2018
Core Design,0,Derby,,England,1988,Tomb Raider series,Subsidiary of Eidos Interactive; closed down in 2006
Crafts & Meister,1,Osaka,,Japan,2004,Gundam Breaker series,
Crawfish Interactive,0,Croydon,,England,1997,,Defunct in 2002
Creat Studios,1,Canton,Massachusetts,US,1990,American Chopper 2: Full Throttle,
Creative Assembly,1,Horsham,,England,1987,Total War seriesAlien: Isolation,Acquired by Sega in 2005
Creatures,1,Tokyo,,Japan,1995,Pokémon Ranger seriesDetective Pikachu,
Criterion Games,1,Guildford,,England,1993,Burnout series,Subsidiary of Electronic Arts
Croteam,1,Zagreb,,Croatia,1993,Serious Sam seriesThe Talos Principle,
Cryo Interactive,0,Paris,,France,1992,DuneEgypt series,Bankrupt in 2002
Culture Brain Excel,1,Tokyo,,Japan,1980,Hiryū no Ken seriesSuper Chinese series,
Crea-Tech,0,Tokyo,,Japan,1988,Metal Max series,
Cryptic Studios,1,Los Gatos,California,US,2000,City of HeroesChampions OnlineStar Trek Online,Subsidiary of Perfect World
Crystal Dynamics,1,Redwood City,California,US,1992,Legacy Of Kain seriesTomb Raider series (second era),Acquired by Square Enix in 2009
Crytek,1,Frankfurt,,Germany,1999,Far CryCrysis seriesRyse: Son of Rome,
Crytek UK,0,Nottingham,,England,1999,TimeSplitters series,Founded as Free Radical Design; acquired by Crytek in 2009; defunct in 2014
Cyan Worlds,1,Mead,Washington,US,1987,Myst series,
Cyanide,1,Nanterre,,France,2000,Pro Cycling Manager series,Acquired by Bigben Interactive in 2018
Cyberdreams,1,Liverpool,,England,2007,,Developer/publisher; successor of Ultrasoft
CyberConnect2,1,Fukuoka,,Japan,1996,.hack franchise .hack series .hack//G.U. series Naruto: Ultimate Ninja seriesDragon Ball Z: Kakarot,
Cyberlore Studios (Blueline Simulations[8]),1,Northampton,Massachusetts,US,1992,Majesty: The Fantasy Kingdom Sim,Developer of computer games
CyberStep,1,Tokyo,,Japan,2000,GetAmpedCosmic BreakGetAmped2Onigiri,Developer/publisher of global online games
Cygames,1,Tokyo,,Japan,2011,The Idolmaster Cinderella Girls seriesGranblue Fantasy seriesShadowversePrincess Connect! seriesDragalia Lost,Subsidiary of CyberAgent
Dambuster Studios,1,Nottingham,,England,2014,Homefront: The RevolutionDead Island 2,Formed by former employees of Crytek UK; acquired by Koch Media in 2014 and managed by its Deep Silver division
Danger Close Games,0,Los Angeles,California,US,1995,Medal of Honor series,Subsidiary of Electronic Arts; defunct in 2013
Day 1 Studios,0,Chicago,Illinois,US,2001,Axis & Allies seriesMechAssault series,Merged with WarGaming[9]
Daybreak Game Company,1,San Diego,California,US,1997,EverQuest seriesPlanetSide seriesH1Z1 series,
Deadline Games,0,Copenhagen,,Denmark,1996,Total OverdoseWatchmen: The End Is NighFaith and a .45,
Deck13,1,Frankfurt,,Germany,2001,Ankh seriesThe Surge series,
Deep Silver Volition,1,Champaign,Illinois,US,1996,Saints Row seriesRed Faction series,Acquired by Koch Media in 2013 and managed by its Deep Silver division
Demiurge Studios,1,Cambridge,Massachusetts,US,2002,,acquired by Sega in 2015
DeNA,1,Tokyo,,Japan,1999,Final Fantasy Record KeeperPokémon MastersMario Kart Tour,
devCAT Studios (Nexon development 3rd division),1,Seoul,,South Korea,2001,MabinogiVindictus,Division of Nexon Korea
Dhruva Interactive,0,Bangalore,,India,1997,,Acquired by Starbreeze Studios in 2016 and then they were acquired by Rockstar Games and were merged into Rockstar India in 2019
Die Gute Fabrik,1,Copenhagen,,Denmark,2006,Where is my Heart?JoustSportsfriends,
Digital Extremes,1,London,Ontario,Canada,1993,Warframe,"Subsidiary of Leyou; Founded by James Schmalz, co-creator of Unreal series."
Digital Eclipse,1,Emeryville,California,US,1992,,Division of Other Ocean Group[10]
Digitalmindsoft,1,Ulm,,Germany,2006,Men of War series,
Digital Reality,0,Budapest,,Hungary,1991,Imperium Galactica series,Defunct in 2013; their assets were acquired by Nordic Games[11]
Dimps,1,Osaka,,Japan,2000,Street Fighter IVDragon Ball Z: Budokai seriesDragon Ball Xenoverse series,
Disney Interactive Studios,0,Glendale,California,US,1988,,Publisher and subsidiary of The Walt Disney Company; closed in 2016
Dontnod Entertainment,1,Paris,,France,2008,Life Is Strange series,
DotEmu,1,Paris,,France,2007,Wonder Boy: The Dragon's Trap Streets of Rage 4,
Double Fine Productions,1,San Francisco,California,US,2000,PsychonautsBroken AgeGang Beasts,Founded by former employees of LucasArts; acquired by Microsoft in 2019
Dynamix,0,Eugene,Oregon,US,1984,Red BaronFront Page Sports seriesBetrayal at KrondorTribes seriesMechWarrior,Closed in 2001
Dovetail Games,1,Chatham,,England,2008,Train Simulator franchise,
The Dovetail Group,0,,,US,c. 1984,,Early developer of music video games
EA Black Box,0,British Columbia,,Canada,1998,Skate series,Subsidiary of Electronic Arts; closed in 2013
EA Digital Illusions CE (EA DICE),1,Stockholm,,Sweden,1992,Battlefield seriesMirror's Edge,Acquired by Electronic Arts in 2004
EA Vancouver (formerly Distinctive Software),1,Burnaby,British Columbia,Canada,1982,Test DriveSSX series,Acquired by Electronic Arts in 1991
Eat Sleep Play,0,Salt Lake City,Utah,US,2007,Twisted Metal series,Defunct in 2017
Egosoft,1,Würselen,,Germany,1988,X series,
Eden Games,1,Lyon,,France,1998,Test Drive Unlimited series,Former subsidiary of Atari SA
Eighting,1,Tokyo,,Japan,1993,Kururin seriesKamen Rider: Climax seriesKamen Rider: Battride War seriesMarvel vs. Capcom 3: Fate of Two Worlds,Acquired by COLOPL
Electronic Arts,1,Redwood City,California,US,1982,FIFA seriesNeed For Speed seriesPlants vs. Zombies series Apex Legends,Developer/publisher/distributor
Elemental Games,0,Vladivostok,,Russia,1999,Space Rangers,Defunct in 2015
Engine Software,1,Doetinchem,,Netherlands,1995,,Also middleware developer
Ensemble Studios,0,Dallas,Texas,US,1995,Age of Empires seriesAge of MythologyHalo Wars,Former subsidiary of Microsoft Studios
Epic Games,1,Cary,North Carolina,US,1991,Unreal seriesGears of War seriesShadow ComplexInfinity Blade seriesFortnite,"Developer, publisher, and distributor"
Epics,1,Tokyo,,Japan,1987,PoPoLoCrois series,
Epicenter Studios,0,Sherman Oaks,California,US,2007,Real Heroes: Firefighter,
Epyx,0,San Francisco,California,US,1978,California Games seriesImpossible Mission seriesJumpman seriesPitstop seriesSummer Games series,"Developer/publisher, defunct 1993"
ESA (formerly Softmax),0,Seoul,,South Korea,1994,TalesWeaver,ESA left from game business. The former employees formed Studio 4Leaf and the studio was acquired by NextFloor [ko].[12]
Étranges Libellules,0,Lyon,,France,1994,Asterix & Obelix XXL,
Eugen Systems,1,Paris,,France,2000,Act of War seriesWargame seriesSteel Division series,
Eurocom,0,Derby,,England,1988,GoldenEye 007,
Evolution Studios,0,Runcorn,,England,1999,World Rally Championship seriesMotorStorm series,Division of SIE Worldwide Studios and subsidiary of Sony Computer Entertainment; defunct in 2016
Examu,0,Tokyo,,Japan,2007,Arcana Heart series,Their business operations were suspended in 2020 and their business was taken over by Team Arcana.[13]
Eyedentity Games,1,Seoul,,South Korea,2007,Dragon Nest,Acquired by Shanda Games (currently Shengqu Games) in 2010
F4,1,Paris,,France,2002,Empire of Sports,
Facepunch Studios,1,Walsall,,England,2009,Garry's Mod  Rust,
FarSight Studios,1,Big Bear Lake,California,US,1989,The Pinball Arcade,
FASA Studio,0,Redmond,Washington,US,1994,MechCommander seriesMechWarrior 4,defunct in 2007
Fatshark,1,Stockholm,,Sweden,2008,War of the Roses,Subsidiary of Tencent
feelplus,0,Tokyo,,Japan,1992,No More Heroes: Heroes' Paradise,Merged into AQ Interactive
Felistella,1,Gifu,,Japan,2010,Summon Night 5,
Firaxis Games,1,Sparks,Maryland,US,1996,Civilization series (part 3 and later)XCOM (Reboot) series,Subsidiary of 2K Games; founded by former employees of MicroProse.
Firefly Studios,1,London,,England,1999,Stronghold series,
Firesprite,1,Liverpool,,England,2012,,Formed by former employees of SCE Studio Liverpool
First Star Software,0,Chappaqua,New York,US,1982,,Defunct in 2018. Their name and assets were acquired by BBG Entertainment
Flagship Studios,0,San Francisco,California,US,2003,Hellgate:LondonMythos,Closed down in 2008
Flight-Plan,0,Gifu,,Japan,1989,Black/Matrix seriesSummon Night series,Defunct in 2010
Flying Wild Hog,1,Warsaw,,Poland,2009,Hard ResetShadow Warrior series,
Foundation 9 Entertainment,0,Emeryville,California,US,1992,,Dissolved in 2016
Fox Digital Entertainment,0,,,US,2002,,Subsidiary of 20th Century Studios. The company is still exists but 20th Century Fox's video game business was rearranged to FoxNext.
FoxNext,1,,,US,2017,Marvel Strike Force,Division of 20th Century Studios. Their game development studios will be acquired by Scopely in 2020.[14]
Frictional Games,1,Helsingborg,,Sweden,2001,Penumbra seriesAmnesia: The Dark DescentSOMA,
Frogwares,1,Kiev,,Ukraine,2000,Adventures of Sherlock Holmes series,
FromSoftware,1,Tokyo,,Japan,1986,Armored Core series Souls series  Demon's Souls Dark Souls series BloodborneSekiro: Shadows Die Twice,Subsidiary of Kadokawa Corporation
Frontier Developments,1,Cambridge,,England,1994,Elite seriesThrillvilleLostWindsKinectimalsRollerCoaster Tycoon 3Planet Coaster,
Frozenbyte,1,Helsinki,,Finland,2001,Shadowgrounds seriesTrine series,
FTL Games,0,San Diego,California,US,1982,Dungeon Master series,Closed in 1982
FUN Labs,1,Bucharest,,Romania,1999,MIB: Alien CrisisCabela's series,
Funcom,1,Oslo,,Norway,1993,The Longest Journey seriesAnarchy OnlineAge of ConanThe Secret WorldConan Exiles,Developer/publisher
FuRyu,1,Tokyo,,Japan,2007,Unchained Blades seriesBeyblade Burst seriesCardfight!! Vanguard series,
Futuremark,0,Espoo,,Finland,1997,Shattered Horizon,Their game development division was acquired by Rovio Entertainment. Futuremark itself was acquired by UL and was merged into them.
Gaijin Entertainment,1,Moscow,,Russia,2002,War ThunderIL-2 Sturmovik: Birds of Prey,
Game Arts,1,"Chiyoda, Tokyo",,Japan,1985,Thexder seriesLunar seriesGrandia series,Subsidiary of GungHo Online Entertainment
Game Freak,1,"Setagaya-ku, Tokyo",,Japan,1989,Pokémon series,
GameHouse,1,Seattle,Washington,US,1998,Delicious series,"Casual game developer, publisher and portal; acquired by RealNetworks"
Gameloft,1,Paris,,France,1999,Modern Combat: DominationOrder & Chaos OnlineAssassin's Creed (for mobile)Asphalt,Subsidiary of Vivendi; developer/publisher of mobile games
Gearbox Software,1,Plano,Texas,US,1999,Brothers In Arms seriesBorderlands seriesHalf-Life: Opposing Force,
Geewa,1,Prague,,Czech Republic,2005,,
Genki,1,"Shinjuku, Tokyo",,Japan,1990,Shutokou Battle series,Subsidiary of Daikoku Denki [ja]
Ghost Games,1,Gothenburg,,Sweden,2011,Need for Speed Payback,Subsidiary of Electronic Arts
Glu Mobile,1,San Francisco,California,US,2001,Deer Hunter series,Developer and publisher of mobile games
Gogii Games,1,Moncton,New Brunswick,Canada,2006,,Developer/publisher
Good-Feel,1,Kobe,,Japan,2005,Kirby's Epic YarnYoshi's Woolly WorldYoshi's Crafted World,Founded by former employees of Konami
Granzella,1,Nonoichi,,Japan,2011,Disaster Report 4 Plus: Summer Memories,Founded by former Irem employees
Grasshopper Manufacture,1,"Chiyoda, Tokyo",,Japan,1998,Killer7No More Heroes seriesLollipop ChainsawKiller Is DeadLet It Die,Founded by Suda51; acquired by GungHo Online Entertainment in 2013
Gravity,1,Seoul,,South Korea,2000,Ragnarok Online,Subsidiary of GungHo Online Entertainment
Gray Matter Interactive,0,Los Angeles,California,US,1993,Call of Duty: United Offensive,Merged into Treyarch in 2005
Gremlin Interactive,0,Sheffield,,England,1984,Zool and Premier Manager,Taken over by Infogrames in 1999 studio closed in 2003
Grezzo,0,"Shibuya, Tokyo",,Japan,2006,The Legend of Zelda: Ocarina of Time 3DThe Legend of Zelda: Majora's Mask 3DThe Legend of Zelda: Tri Force HeroesEver OasisThe Legend of Zelda: Link's Awakening (2019 Remake),Second-party developer of Nintendo
Grinding Gear Games,0,Auckland,,New Zealand,2006,Path of Exile,Acquired by Tencent
Griptonite Games,0,Kirkland,Washington,US,1994,Marvel Super Hero Squad: Comic Combat,Acquired by Glu Mobile
GSC Game World,1,Kiev,,Ukraine,1995,S.T.A.L.K.E.R,"Defunct in 2011, reopened in 2014"
Guerrilla Cambridge,0,Cambridge,Cambridgeshire,England,"1997 (as SCE Cambridge Studio), 2013",MediEvil series,Branch of Guerrilla Games and division of SIE Worldwide Studios; closed in 2017
Guerrilla Games,1,Amsterdam,,Netherlands,2000,Killzone seriesHorizon Zero Dawn,Division of SIE Worldwide Studios since 2004
Gunfire Games,1,Austin,Texas,US,2014,Darksiders IIIRemnant: From the Ashes,Formed by former employees of Vigil Games; acquired by THQ Nordic in 2019
GungHo Online Entertainment,1,"Chiyoda, Tokyo",,Japan,1998,Puzzle & Dragons series,Developer/publisher
Gust,1,Nagano,,Japan,1993,Atelier seriesFairy Tail,Became a division of Koei Tecmo Games in 2014
Haemimont Games,1,Sofia,,Bulgaria,1997,Tropico 5,
HAL Laboratory,1,"Chiyoda, Tokyo",,Japan,1980,Kirby series Earthbound/Mother series,Developer closely associated with Nintendo
Halfbrick,1,Brisbane,Queensland,Australia,2001,Fruit Ninja seriesJetpack Joyride,Mobile game developer/publisher
Hanaho,0,Cerritos,California,US,1992,,
h.a.n.d.,1,Sapporo,,Japan,1993,Aikatsu! seriesKingdom Hearts 358/2 DaysDisney Magical World series,
