Developer,Active,City,Autonomous area,Country,Est.,"Notable games, series or franchises",Notes
Schell Games,1,Pittsburgh,Pennsylvania,US,2002,I Expect You To Die,Developer and publisher
SCS Software,1,Prague,,Czech Republic,1997,18 Wheels of Steel seriesEuro Truck Simulator series,
Sega,1,"Ota, Tokyo,San Francisco",California,"Japan,US",1960,Sonic the Hedgehog franchiseGolden Axe seriesStreets of Rage seriesThe House of the Dead seriesSuper Monkey Ball seriesPuyo Puyo seriesJet Set Radio seriesPhantasy Star seriesSakura Wars seriesYakuza seriesValkyria Chronicles seriesMushiking seriesHatsune Miku: Project DIVA series,"Third-party (Formerly first-party) developer, publisher, and former console manufacturer; subsidiary of Sega Sammy Holdings"
SEGA Interactive R&D Division 1 (Sega AM1),1,Tokyo,,Japan,1984,World Club Champion Football series,Division of SEGA Interactive
SEGA Interactive R&D Division 2 (Sega AM2),1,Ota,,Japan,1985,Virtua Fighter seriesShenmue seriesBorder Break series,"Division of SEGA Interactive, founded by Yu Suzuki"
Sega AM3,0,Tokyo,,Japan,1991,Crazy Taxi seriesVirtua Tennis series,Division of Sega
Sega CS Research and Development No. 2 (Sonic Team),1,Tokyo,,Japan,1996,Sonic The Hedgehog franchisePuyo Puyo seriesProject Sakura Wars,Division of SEGA Games
Sega Sports R&D,0,Tokyo,,Japan,1994,Panzer Dragoon seriesJet Set Radio seriesLet's Make a Soccer Team! seriesMario & Sonic at the Olympic Games series,Division of Sega
Sensible Software,0,Cambridge,,England,1986,Sensible Soccer seriesCannon Fodder seriesMega Lo ManiaWizballWizkidMicroprose SoccerShoot-'Em-Up Construction KitParallaxSensible Golf,"Developer, studio closed and company acquired by Codemasters in 1999"
Shift,1,Kanagawa,,Japan,1996,Ape Escape Academy seriesGod Eater series,
SIE Bend Studio,1,Bend,Oregon,US,"1993 (Founded as Blank, Berlyn and Co., later Eidetic)",Syphon Filter seriesDays Gone,"Founded by Blank, Berlyn and Co. and Eidetic, acquired by Sony Interactive Entertainment as a part of SIE Worldwide Studios in 2000."
SIE San Mateo Studio (formerly SIE Foster City Studio),1,San Mateo,California,US,1998,,Division of SIE Worldwide Studios; relocated from Foster City to San Mateo
SIE Japan Studio,1,Tokyo,,Japan,1993,Ape Escape seriesIcoShadow of the ColossusSiren seriesPatapon seriesLoco Roco seriesGravity Rush seriesKnack seriesThe Last Guardian,Division of SIE Worldwide Studios
SIE London Studio,1,London,,England,2002,SingStar series,Division of SIE Worldwide Studios
SIE San Diego Studio,1,San Diego,California,US,2001,MLB: The Show series,Division of SIE Worldwide Studios
SIE Santa Monica Studio,1,Los Angeles,California,US,1999,God of War series,Division of SIE Worldwide Studios
SCE Studio Liverpool,0,Liverpool,,England,1984,Wipeout seriesFormula One seriesColony Wars series,"Former Division of SIE Worldwide Studios; shut down by Sony on August 22, 2012"
SIE Worldwide Studios,1,"Tokyo, Fukuoka, Santa Monica, Los Angeles, San Diego, Bend, Amsterdam, London, Guildford, Cambridge","California, Washington, Oregon","Japan, US, Netherlands, England",2005,,A group of first-party development studios and subsidiaries owned by Sony Interactive Entertainment
SingleTrac,0,Salt Lake City,Utah,US,1994,Twisted Metal 1–2Jet Moto 1–2Warhawk (1995),Defunct in 2000
Shengqu Games,1,Shanghai,,China,1999,,Acquired by Zhejiang Century Huatong in 2017
Sherman3D,1,Petaling Jaya,,Malaysia,2003,Alpha Kimori,
Shin'en Multimedia,1,Munich,,Germany,1999,Fast Racing League series,
Sierra Entertainment,0,Oakhurst,California,US,1979,Mystery HouseKing's Quest seriesSpace Quest seriesPolice Quest seriesLeisure Suit Larry seriesQuest for Glory seriesGabriel Knight series,Subsidiary of Activision; internal development ceased in 1999; closed in 2004
Silicon Knights,0,St. Catharines,Ontario,Canada,1992,Blood Omen: Legacy of KainEternal Darkness: Sanity's RequiemToo Human,Closed in 2014
Silicon Studio,0,Tokyo,,Japan,2000,Bravely Default series,They still develop game middlewares but their game contents division was sold to CREEK & RIVER.[26]
Simtex,0,Austin,Texas,US,1988,Master of Orion seriesMaster of Magic,Closed in 1997
Slant Six Games,0,Vancouver,British Columbia,Canada,2005,SOCOM U.S. Navy SEALs seriesResident Evil: Operation Raccoon City,Defunct in 2013
Sledgehammer Games,1,Foster City,California,US,2009,Call of Duty: Advanced Warfareco-developer of Call of Duty: Modern Warfare 3,Subsidiary of Activision
Snail,1,Suzhou,,China,2000,Voyage Century Online,
Slightly Mad Studios,1,London,,England,2008,Project CARS series,Acquired by Codemasters in 2019[27]
Slipgate Ironworks,1,Aars,,Denmark,2017,Rad Rodgers,Formed by former employees of Interceptor Entertainment
Slitherine Software,1,Epsom,,England,2000,Horrible Histories: Ruthless Romans,
Smilegate,1,Seoul,,South Korea,2002,CrossFire,
SNK,1,Osaka,,Japan,2001,Fatal Fury seriesThe King of Fighters seriesMetal Slug seriesSamurai Showdown seriesThe Last Blade seriesWorld Heroes series,Acquired by 37Games in 2015; game hardware and software developer/publisher/manufacture
Sobee Studios,1,Istanbul,,Turkey,2000,I Can FootballSüpercan,Merged into TTNET
Snowblind Studios,0,Seattle,Washington,US,1997,Top Gear OverdriveChampions of Norrath,Subsidiary of Warner Bros. Interactive Entertainment; defunct in 2012
Software 2000,0,Eutin,,Germany,1987,Pizza Tycoon series,Closed in 2002
Sony Interactive Entertainment,1,San Mateo,California,US,1994,Various titles,"First-party developer, publisher and console manufacturer"
Sora Ltd.,1,Tokyo,,Japan,2005,Kid Icarus: UprisingSuper Smash Bros. for Nintendo 3DS and Wii USuper Smash Bros. Ultimate,
Spellbound Entertainment,0,Offenburg,,Germany,1994,Desperados seriesArcania: Gothic 4,Closed in 2012
Spiders,1,Paris,,France,2008,The TechnomancerGreedFall,Acquired by Bigben Interactive in 2019[28]
Spike,0,Tokyo,,Japan,1991,Dragon Ball Z: Budokai Tenkaichi series,Merged with Chunsoft to become Spike Chunsoft in 2012
Spike Chunsoft,1,Tokyo,,Japan,2012,Zero Escape seriesDanganronpa franchiseAI: The Somnium FilesMystery Dungeon franchise Pokémon Mystery Dungeon series,The result of a merger between Spike and Chunsoft and is owned by Dwango
Spil Games,1,Hilversum,,Netherlands,2001,,Web game developer/publisher. The mobile game division was acquired by Azerion.[29]
Splash Damage,1,London,,England,2001,Enemy Territory: Quake WarsBrinkDirty Bomb,Subsidiary of Leyou
Sproing Interactive Media,0,Vienna,,Austria,2001,Cursed Mountain,Defunct in 2017; their assets were acquired by Purple Lamp
Square Enix,1,"Shinjuku, Tokyo",,Japan,1975,Final Fantasy franchiseMana seriesSaGa seriesChrono TriggerBrave Fencer MusashiStar Ocean franchiseValkyrie Profile seriesKingdom Hearts franchiseDragon Quest franchiseDrakengard series Nier series Bravely Default seriesOctopath TravelerFront Mission series,Developer/publisher; previously known as Square Co. and Enix
Squad,1,Mexico City,,Mexico,2009,Kerbal Space Program series,
Stainless Games,1,Newport,,England,1993,Magic: The Gathering – Duels of the Planeswalkers series,
Stainless Steel Studios,0,Cambridge,Massachusetts,US,1998,Empire Earth,Closed in 2005
Starbreeze Studios,1,Uppsala,,Sweden,1998,EnclaveRiddickSyndicateBrothers: A Tale of Two Sons,
Stardock,1,Plymouth,Michigan,US,1991,Galactic Civilizations series,Developer/publisher
Sting Entertainment,1,Tokyo,,Japan,1989,Baroque seriesDungeon Travelers series,
Strategic Simulations,0,Sunnyvale,California,US,1979,Gold Box seriesPanzer General series,Closed in 1994
Stoic Studio,1,Austin,Texas,US,2011,The Banner Saga series,Founded by former employees of BioWare
Strawdog Studios,1,Derby,,England,2003,Geon series,
Straylight Studios,0,Dunedin,,New Zealand,2004,,Closed in 2009
Streamline Studios,1,Kuala Lumpur,,Malaysia,2001,,
Success,1,Tokyo,,Japan,1978,Touch Detective series,
Sucker Punch Productions,1,Bellevue,Washington,US,1997,Rocket: Robot on WheelsSly Cooper seriesInfamous seriesGhost of Tsushima,Division of SIE Worldwide Studios since 2011
Sumo Digital,1,Sheffield,,England,2003,LittleBigPlanet 3Crackdown 3,
Supercell,1,Helsinki,,Finland,2010,Clash of ClansHay DayBoom BeachClash Royale,Subsidiary of Tencent
Supermassive Games,1,Guildford,,England,2008,Until Dawn,
SuperVillain Studios,1,Orange County,California,US,2004,Order Up!,acquired by Nicalis in 2017
Survios,1,Los Angeles,California,US,2013,,
Studio Wildcard,1,Kirkland,Washington,US,2014,Ark: Survival Evolved,
Swingin' Ape Studios,0,Aliso Viejo,California,US,2000,Metal Arms: Glitch in the System,Acquired by Blizzard Entertainment
StormRegion,0,Budapest,,Hungary,2001,S.W.I.N.E.Codename: Panzers series,Acquired by 10tacle Studios AG in 2007 and then defunct in 2008
Sunstorm Interactive,0,Indianapolis,Indiana,US,1995,Deer Hunter series,Defunct in 2003
Syn Sophia,1,Tokyo,,Japan,1995,WCW/nWo RevengeSimCity DS seriesStyle Savvy seriesPretty Series franchise Pretty Rhythm series PriPara series Pri Chan series,
SystemSoft Beta,1,Tokyo,,Japan,1999,Daisenryaku series,"Subsidiary of Nippon Ichi Software, successor of SystemSoft Alpha[30]"
Taito,1,"Shinjuku, Tokyo",,Japan,1953,Space InvadersBubble Bobble series,Developer/publisher; acquired by Square Enix
Tango Gameworks,1,"Minato, Tokyo",,Japan,2010,The Evil Within series,Acquired by ZeniMax Media in 2010
Tag Games,1,Dundee,,Scotland,2006,,
TaleWorlds Entertainment,1,Ankara,,Turkey,2005,Mount & Blade series,
Tamsoft,1,Asakusa,,Japan,1992,OneeChanbara seriesSenran Kagura series,
T&E Soft,0,Aichi,,Japan,1982,Hydlide series,Merged into Spike Chunsoft in 2013
Tantrumedia,1,Wirral,,England,2003,,
Tantalus Media,1,Melbourne,Victoria,Australia,1994,,
Tarsier Studios,1,Malmö,,Sweden,2004,Little Nightmares,Acquired by Embracer Group in 2019.[31]
Tate Multimedia,1,Warsaw,,Poland,2002,Urban Trial Freestyle,
Team17,1,Ossett,,England,1990,Alien Breed seriesWorms seriesThe Escapists series,
Team Bondi,0,Sydney,New South Wales,Australia,2003,L.A. Noire,Closed in 2011
Team Ico,0,Tokyo,,Japan,1997,IcoShadow of the Colossus,Division of SIE Japan Studio; Their staffs moved to genDESIGN
Team Ninja,1,Tokyo,,Japan,1995,Ninja Gaiden seriesDead or Alive franchiseNioh seriesMarvel Ultimate Alliance 3,Division of Koei Tecmo Games; formerly a division of Tecmo
Techland,1,Ostrów Wielkopolski,,Poland,1991,Chrome seriesCall Of Juarez seriesDead Island seriesDying Light,Developer/publisher
Tecmo,0,Tokyo,,Japan,1967,Ninja Gaiden seriesDead or Alive franchiseMonster Rancher seriesGallop Racer seriesFatal Frame series,Tecmo and Koei co-founded Koei Tecmo Holdings in 2009 and Tecmo was merged into Koei Tecmo Games in 2010
Telltale Games,0,San Rafael,California,US,2004,Sam & Max episodic seriesThe Walking Dead seriesThe Wolf Among UsTales from the BorderlandsGame of ThronesMinecraft: Story Mode,Founded by former employees of LucasArts
Tencent,1,Shenzhen,,China,1998,,"Developer, publisher, online services company"
Tencent Games,1,Shenzhen,,China,2003,Ring of Elysium,Division of Tencent Interactive Entertainment
Tequila Works,1,Madrid,,Spain,2009,Deadlight,
Terminal Reality,0,Lewisville,Texas,US,1994,Monster Truck Madness series,Closed in 2013
Tetris Online,0,Honolulu,Hawaii,US,2006,Tetris Friends,Closed in 2019
Teyon,1,Kraków,,Poland,2006,Heavy Fire series,
The Chinese Room,1,Brighton,,England,2007,Amnesia: A Machine For Pigs,Subsidiary of Sumo Digital
The Coalition,1,Vancouver,,Canada,2010,Gears of War series,Subsidiary of Microsoft Studios
The Farm 51,1,Gliwice,,Poland,2005,Get Even,
The Initiative,1,Santa Monica,,US,2018,,Subsidiary of Microsoft Studios
THQ,0,Agoura Hills,California,US,1989,,"Developer/publisher; defunct in 2013; their assets were acquired by Nordic Games, 505 Games, or Gearbox Software[32]"
THQ Nordic,1,ViennaKarlstad,,AustriaSweden,2011,SpellForce 3,Developer/publisher
Three Fields Entertainment,1,Petersfield,,England,2014,Danger Zone series,Founded by the founders of Criterion Games
Three Rings Design,0,San Francisco,California,US,2001,Doctor Who: Worlds in Time,
TimeGate Studios,0,Sugar Land,Texas,US,1998,Kohan seriesSection 8 series,
TiMi Studios,1,Shenzhen,,China,2008,Call of Duty: Mobile,Subsidiary of Tencent Games
Toaplan,0,Tokyo,,Japan,1984,Snow Bros.,Developer of arcade games; went bankrupt and closed in 1994
ToeJam & Earl Productions,0,San Francisco,,US,1989 (as Johnson Voorsanger Productions),ToeJam & Earl series,Founded by Mark Voorsanger and Greg Johnson; became defunct in 2003
TopWare Interactive,1,Karlsruhe,,Germany,1995,,Publisher (developing in Reality Pump Studios division)
Torpex Games,0,Bellevue,Washington,US,2005,Schizoid,
Torus Games,1,Bayswater,Victoria,Australia,1994,Scooby-Doo! First FrightsScooby-Doo! and the Spooky SwampShrek Smash n' Crash RacingMonster Jam,
Tose,1,Kyoto,,Japan,1979,The Legendary Starfy seriesDragon Quest Monsters seriesSlime seriesWorld of Final Fantasy,
Toys for Bob,1,Novato,California,US,1989,Skylanders seriesSpyro Reignited Trilogy,Subsidiary of Activision
Trapdoor,0,Montreal,Quebec,Canada,2010,Warp,
Transmission Games,0,Melbourne,Victoria,Australia,1996,Heroes of the PacificHeroes Over Europe,Closed in 2009
Traveller's Tales,1,Knutsford,,England,1990,Lego series,Subsidiary of TT Games
Treyarch,1,Santa Monica,California,US,1996,Call of Duty seriesSpider-Man (2002),Acquired by Activision in 2001.
Treasure,1,Tokyo,,Japan,1992,Gunstar HeroesDynamite HeaddyGuardian HeroesAlien SoldierBangai-OIkarugaSin and PunishmentSin & Punishment: Star SuccessorGaist Crusher,
tri-Ace,1,Tokyo,,Japan,1995,Star Ocean franchiseValkyrie Profile series,Acquired by Nepro Japan (currently NJ Holdings [ja]) in 2015
tri-Crescendo,1,Tokyo,,Japan,1999,Digimon World Re:Digitize series,
Trion Worlds,0,Redwood City,California,US,2006,Rift,Defunct in 2018; their assets were acquired by Gamigo [de][33]
Tripwire Interactive,1,Roswell,Georgia,US,2005,Killing Floor seriesRed Orchestra: Ostfront 41-45,
Triumph Studios,1,Delft,,Netherlands,1997,Age of Wonders seriesOverlord series,Acquired by Paradox Interactive
Turn 10 Studios,1,Redmond,Washington,US,2001,Forza Motorsport series,Subsidiary of Microsoft Studios
Turtle Rock Studios,1,Lake Forest,California,US,2002,Left 4 Dead seriesEvolve,
Two Point Studios,1,Surrey,,England,2016,Two Point Hospital,Formed by former employees of Lionhead Studios; acquired by Sega in 2019
Two Tribes,1,Amersfoort,,Netherlands,2000,Toki Tori,
Typhoon Games (HK),1,Hong Kong SAR,,China,2001,,Subsidiary of Typhoon Entertainment (Asia)
Ubisoft,1,Montreuil-sous-Bois,,France,1986,Rayman seriesAssassin's Creed seriesJust Dance seriesPrince of Persia seriesFar Cry seriesZombiUTom Clancy's Ghost Recon seriesTom Clancy's Rainbow Six seriesTom Clancy's Splinter Cell seriesBeyond Good & Evil series,Developer/publisher
Ubisoft Blue Byte,1,Düsseldorf,,Germany,1988,Battle Isle seriesThe Settlers seriesAnno series,Acquired by Ubisoft
Ubisoft Reflections,1,Newcastle upon Tyne,,England,1984,Driver seriesDestruction Derby series,Acquired by Ubisoft
UEP Systems,0,Tokyo,,Japan,1985,Cool Boarders series,Defunct in 2001
Ultimate Play the Game,0,Ashby-de-la-Zouch,,England,1982,JetpacLunar JetmanAtic AtacSabreman seriesAlien 8,Predecessor to Rare; Defunct in 1988
Undead Labs,1,Seattle,,US,2009,State of Decay series,Acquired by Microsoft Studios in 2018
United Front Games,0,Vancouver,British Columbia,Canada,2006,ModNation RacersSleeping DogsLittleBigPlanet Karting,Defunct in 2016
United Game Artists,0,Tokyo,,Japan,1996,Space Channel 5 seriesRez,Subsidiary of Sega
Universomo,0,Tampere,,Finland,2002,,Defunct in 2010
Valve,1,Kirkland,Washington,US,1996,Half-Life seriesPortal seriesLeft 4 Dead seriesTeam Fortress 2Dota 2Counter-Strike series,"Developer, publisher and distributor"
Vanillaware,1,"Chūō-ku, Osaka",,Japan,2002,Odin SphereGrimGrimoireMuramasa: The Demon BladeDragon's Crown13 Sentinels: Aegis Rim,
Venan Entertainment,0,Cromwell,Connecticut,US,2002,Ninjatown,Their assets were acquired by Megaspace Industries.
Vicarious Visions,1,Albany (Menands),New York,US,1990,Guitar Hero seriesTony Hawk seriesCrash Bandicoot N. Sane TrilogyMarvel: Ultimate Alliance 2,Acquired by Activision in 2004.
Vigil Games,0,Austin,Texas,US,2005,Darksiders series,Subsidiary of THQ; defunct in 2013
Virtual Heroes,1,Raleigh,North Carolina,US,2004,Moonbase Alpha,
Virtuos,1,,,Singapore,2004,Monster Jam: Path of DestructionGhost Recon Predator,
Visceral Games,0,Redwood City,California,US,1998,Dead Space series,"Formerly known as EA Redwood Shores, former in-house development studio and subsidiary of Electronic Arts, closed in 2017."
Visual Concepts,1,Novato,California,US,1988,NFL 2KNBA 2K seriesMLB 2K series,Subsidiary of 2K Sports
Vostok Games,1,Kiev,,Ukraine,2012,Survarium,"Vostok Games was founded in March 2012 by former employees of GSC Game World, following that firm's closing"
VoxelStorm,1,Manchester,,England,2012,AdvertCity,
Wahoo Studios,1,Orem,Utah,US,2001,,
Warhorse Studios,1,Prague,,Czech Republic,2011,Kingdom Come: Deliverance,Acquired by Koch Media in 2019
Wargaming,1,NicosiaMinsk,,CyprusBelarus,1998,World of Tanks,Developer/publisher
Wargaming Saint Petersburg,1,Saint Petersburg,,Russia,1991,World of Warships,Subsidiary of Wargaming
Wargaming Seattle,0,"Redmond, Washington",,US,1998,Supreme Commander,Subsidiary of Wargaming
Warner Bros. Interactive Entertainment,1,Chicago,Illinois,US,1988,Batman: Arkham seriesLego seriesF.E.A.R. seriesMortal Kombat series,Division of Warner Bros. Entertainment which is a subsidiary of WarnerMedia
WB Games Boston (formerly Turbine),1,Needham,Massachusetts,US,1994,Asheron's Call seriesDungeons & Dragons OnlineThe Lord of the Rings Online,Subsidiary of Warner Bros. Interactive Entertainment
WB Games | Avalanche (formerly Avalanche Software),1,Salt Lake City,,US,1995,Disney Infinity series,Subsidiary of Disney Interactive Studios; defunct in 2016Relaunched by Warner Bros. in 2017.
Webfoot Technologies,1,Chicago,Illinois,US,1993,Dragon Ball Z: The Legacy of GokuYou Don't Know Jack!  series[which?]Deadly Rooms of Death,Creators of many Dragon Ball Z games for Atari; specializes in Nintendo platforms
WeMade,1,Seoul,,South Korea,2000,The Legend of Mir series,
Westone Bit Entertainment,0,Tokyo,,Japan,1986,Wonder Boy seriesMonster World series,Bankrupt and became defunct in 2014
Westwood Studios,0,Las Vegas,Nevada,US,1985,Eye of the BeholderDune IIThe Legend of Kyrandia seriesLands of Lore seriesCommand & Conquer series,Acquired by Electronic Arts in 1998 and closed in 2003.
Wideload Games,0,Chicago,Illinois,US,2003,Stubbs the Zombie in Rebel Without a Pulse,Subsidiary of Disney Interactive Studios; closed in 2014
Wildfire Studios,1,Brisbane,Queensland,Australia,1995,,
Wizet studio (Nexon development 1st division),1,Seoul,,South Korea,1999,MapleStory,Acquired by Nexon and became to its division
Wolfire Games,1,Berkeley,California,US,2003,,
World Forge,0,Voronezh,,Russia,2004,Ancient Wars: Sparta,Founded by Burut Creative Team employees.
Xbox Game Studios,1,Redmond,Washington,US,2002,Age of Empires seriesCrackdown seriesFable seriesForza Motorsport seriesGears of War seriesHalo seriesMicrosoft Flight Simulator seriesZoo Tycoon series,"First-party developer, publisher, and console manufacturer; established as Microsoft Game Studios"
XPEC Entertainment,1,Taipei,,Taiwan,2000,Bounty Hounds,Developer/publisher
Yager Development,1,Berlin,,Germany,1999,Spec Ops: The Line,
Yuke's,1,Osaka,,Japan,1993,WWE SmackDown! vs Raw,
ZeniMax Online Studios,1,Hunt Valley,Maryland,US,2007,The Elder Scrolls Online,Subsidiary of ZeniMax Media Inc
Zipper Interactive,0,Redmond,Washington,US,1995,SOCOM U.S. Navy SEALs seriesMechWarrior 3,Shut down in 2012 by Sony Computer Entertainment
Zombie Studios,0,Seattle,Washington,US,1994,Spec Ops: Rangers Lead the WayBlacklight: Retribution,
ZootFly,0,Ljubljana,,Slovenia,2002,Marlow Briggs and the Mask of Death,Acquired by Elektroncek
Zynga,1,San Francisco,California,US,2007,FarmVilleZynga Poker,Social network game developer.
